,SAMPLE_TIMESTAMP,WPL_LATITUDE,WPL_LONGITUDE
0,2021_05_01 08_00_00,37.2521,126.35981
60,2021_05_01 08_01_00,37.2579,126.3549
120,2021_05_01 08_02_00,37.2521,126.35981
180,2021_05_01 08_03_00,37.2521,126.35981
240,2021_05_01 08_04_00,37.2521,126.35981
300,2021_05_01 08_05_00,37.2521,126.35981
360,2021_05_01 08_06_59,37.2521,126.35981
420,2021_05_01 08_07_59,37.2521,126.35981
480,2021_05_01 08_08_59,37.2521,126.35981
540,2021_05_01 08_09_59,37.2521,126.35981
600,2021_05_01 08_11_28,37.2521,126.35981
660,2021_05_01 08_12_57,37.2521,126.35981
720,2021_05_01 08_13_57,37.2583,126.347
780,2021_05_01 08_14_57,37.2521,126.35981
840,2021_05_01 08_15_57,37.2521,126.35981
900,2021_05_01 08_16_57,37.2521,126.35981
960,2021_05_01 08_17_57,37.2583,126.347
1020,2021_05_01 08_18_57,37.2521,126.35981
1080,2021_05_01 08_19_57,37.2521,126.35981
1140,2021_05_01 08_20_57,37.2521,126.35981
1200,2021_05_01 08_21_57,37.2521,126.35981
1260,2021_05_01 08_22_57,37.2521,126.35981
1320,2021_05_01 08_23_57,37.2521,126.35981
1380,2021_05_01 08_24_57,37.2521,126.35981
1440,2021_05_01 08_25_57,37.2521,126.35981
1560,2021_05_01 08_27_57,37.2579,126.3549
1620,2021_05_01 08_29_26,37.2521,126.35981
1680,2021_05_01 08_30_26,37.2521,126.35981
1740,2021_05_01 08_31_26,37.2521,126.35981
1800,2021_05_01 08_32_26,37.2521,126.35981
1860,2021_05_01 08_33_26,37.2521,126.35981
1920,2021_05_01 08_34_26,37.2521,126.35981
1980,2021_05_01 08_35_26,37.2521,126.35981
2040,2021_05_01 08_36_26,37.2521,126.35981
2100,2021_05_01 08_37_26,37.2521,126.35981
2160,2021_05_01 08_38_26,37.2521,126.35981
2220,2021_05_01 08_39_26,37.2579,126.3549
2280,2021_05_01 08_40_26,37.2521,126.35981
2340,2021_05_01 08_41_26,37.2521,126.35981
2400,2021_05_01 08_42_26,37.2521,126.35981
2460,2021_05_01 08_44_55,37.2583,126.347
2520,2021_05_01 08_45_55,37.2521,126.35981
2640,2021_05_01 08_48_24,37.2521,126.35981
2700,2021_05_01 08_49_24,37.2521,126.35981
2760,2021_05_01 08_50_24,37.2521,126.35981
2820,2021_05_01 08_51_24,37.2521,126.35981
2880,2021_05_01 08_52_24,37.2521,126.35981
2940,2021_05_01 08_53_24,37.2521,126.35981
3000,2021_05_01 08_54_24,37.2521,126.35981
3060,2021_05_01 08_55_24,37.2521,126.35981
3120,2021_05_01 08_56_24,37.2521,126.35981
3180,2021_05_01 08_57_24,37.2521,126.35981
3240,2021_05_01 08_58_24,37.2521,126.35981
3300,2021_05_01 08_59_24,37.2521,126.35981
3360,2021_05_01 09_00_24,37.2521,126.35981
3420,2021_05_01 09_01_24,37.2521,126.35981
3540,2021_05_01 09_04_22,37.2521,126.35981
3600,2021_05_01 09_05_22,37.2579,126.3549
3660,2021_05_01 09_06_22,37.2521,126.35981
3720,2021_05_01 09_07_22,37.2521,126.35981
3780,2021_05_01 09_08_22,37.2521,126.35981
3840,2021_05_01 09_09_22,37.2521,126.35981
3900,2021_05_01 09_10_22,37.2521,126.35981
3960,2021_05_01 09_11_22,37.2521,126.35981
4020,2021_05_01 09_12_22,37.2583,126.347
4080,2021_05_01 09_13_22,37.2521,126.35981
4140,2021_05_01 09_14_22,37.2521,126.35981
4200,2021_05_01 09_15_22,37.2583,126.347
4260,2021_05_01 09_16_22,37.2521,126.35981
4380,2021_05_01 09_18_22,37.2579,126.3549
4440,2021_05_01 09_19_22,37.2521,126.35981
4560,2021_05_01 09_21_22,37.2579,126.3549
4620,2021_05_01 09_22_22,37.2521,126.35981
4680,2021_05_01 09_23_22,37.2521,126.35981
4740,2021_05_01 09_24_22,37.2579,126.3549
4800,2021_05_01 09_25_22,37.2521,126.35981
4860,2021_05_01 09_26_22,37.2521,126.35981
4920,2021_05_01 09_27_22,37.2521,126.35981
4980,2021_05_01 09_28_22,37.2521,126.35981
5040,2021_05_01 09_29_22,37.2521,126.35981
5100,2021_05_01 09_30_22,37.2521,126.35981
5160,2021_05_01 09_31_51,37.2521,126.35981
5220,2021_05_01 09_32_51,37.2521,126.35981
5280,2021_05_01 09_33_51,37.2521,126.35981
5340,2021_05_01 09_34_51,37.2521,126.35981
5400,2021_05_01 09_35_51,37.2521,126.35981
5460,2021_05_01 09_36_51,37.2521,126.35981
5520,2021_05_01 09_37_51,37.2521,126.35981
5580,2021_05_01 09_39_20,37.2521,126.35981
5640,2021_05_01 09_40_20,37.2579,126.3549
5700,2021_05_01 09_41_20,37.2521,126.35981
5760,2021_05_01 09_42_20,37.2521,126.35981
5820,2021_05_01 09_43_20,37.2521,126.35981
5880,2021_05_01 09_44_49,37.2521,126.35981
5940,2021_05_01 09_45_49,37.2583,126.347
6000,2021_05_01 09_46_49,37.2521,126.35981
6060,2021_05_01 09_48_18,37.2521,126.35981
6120,2021_05_01 09_49_18,37.2521,126.35981
6180,2021_05_01 09_50_47,37.2521,126.35981
6240,2021_05_01 09_51_47,37.2521,126.35981
6300,2021_05_01 09_52_47,37.2521,126.35981
6360,2021_05_01 09_53_47,37.2521,126.35981
6420,2021_05_01 09_54_47,37.2521,126.35981
6480,2021_05_01 09_55_47,37.2521,126.35981
6540,2021_05_01 09_56_47,37.2521,126.35981
6600,2021_05_01 09_57_47,37.2521,126.35981
6720,2021_05_01 09_59_47,37.2583,126.347
6780,2021_05_01 10_00_47,37.2521,126.35981
6900,2021_05_01 10_02_47,37.2583,126.347
6960,2021_05_01 10_04_16,37.2521,126.35981
7020,2021_05_01 10_05_16,37.2521,126.35981
7080,2021_05_01 10_06_16,37.2521,126.35981
7140,2021_05_01 10_07_16,37.2521,126.35981
7200,2021_05_01 10_08_16,37.2521,126.35981
7260,2021_05_01 10_09_16,37.2579,126.3549
7320,2021_05_01 10_10_16,37.2579,126.3549
7380,2021_05_01 10_11_45,37.2579,126.3549
7440,2021_05_01 10_12_45,37.2579,126.3549
7500,2021_05_01 10_13_45,37.2583,126.347
7620,2021_05_01 10_15_45,37.204,126.236
7680,2021_05_01 10_16_45,37.2583,126.347
7740,2021_05_01 10_18_14,37.2583,126.347
7800,2021_05_01 10_19_14,37.2583,126.347
7860,2021_05_01 10_20_14,37.2583,126.347
7920,2021_05_01 10_21_14,37.204,126.236
7980,2021_05_01 10_22_14,37.2583,126.347
8040,2021_05_01 10_23_14,37.20989,126.30903
8100,2021_05_01 10_24_14,37.2583,126.347
8160,2021_05_01 10_25_43,37.2583,126.347
8220,2021_05_01 10_26_43,37.2583,126.347
8280,2021_05_01 10_27_43,37.204,126.236
8340,2021_05_01 10_28_43,37.204,126.236
8460,2021_05_01 10_30_43,37.2583,126.347
8520,2021_05_01 10_31_43,37.2583,126.347
8580,2021_05_01 10_33_12,37.2583,126.347
8640,2021_05_01 10_34_12,37.2583,126.347
8700,2021_05_01 10_35_12,37.20989,126.30903
8760,2021_05_01 10_36_12,37.2583,126.347
8820,2021_05_01 10_37_12,37.2583,126.347
8880,2021_05_01 10_39_10,37.20989,126.30903
8940,2021_05_01 10_40_10,37.20989,126.30903
9000,2021_05_01 10_41_10,37.20989,126.30903
9060,2021_05_01 10_42_10,37.20989,126.30903
9120,2021_05_01 10_43_39,37.20989,126.30903
9240,2021_05_01 10_45_39,37.20989,126.30903
9300,2021_05_01 10_46_39,37.20989,126.30903
9360,2021_05_01 10_47_39,37.20989,126.30903
9420,2021_05_01 10_48_39,37.20989,126.30903
9540,2021_05_01 10_50_39,37.197,126.204
9600,2021_05_01 10_51_39,37.20989,126.30903
9660,2021_05_01 10_52_39,37.20989,126.30903
9720,2021_05_01 10_54_08,37.20989,126.30903
9780,2021_05_01 10_55_08,37.20989,126.30903
9840,2021_05_01 10_56_08,37.204,126.236
9900,2021_05_01 10_57_08,37.20989,126.30903
9960,2021_05_01 10_58_08,37.20989,126.30903
10020,2021_05_01 10_59_08,37.20989,126.30903
10080,2021_05_01 11_00_08,37.20989,126.30903
10200,2021_05_01 11_02_08,37.164,126.147
10260,2021_05_01 11_03_08,37.204,126.236
10320,2021_05_01 11_04_08,37.204,126.236
10380,2021_05_01 11_05_08,37.164,126.147
10440,2021_05_01 11_06_08,37.204,126.236
10500,2021_05_01 11_07_08,37.204,126.236
10560,2021_05_01 11_08_37,37.204,126.236
10680,2021_05_01 11_10_37,37.197,126.204
10740,2021_05_01 11_11_37,37.197,126.204
10800,2021_05_01 11_12_37,37.197,126.204
10860,2021_05_01 11_13_37,37.12,126.12
10920,2021_05_01 11_14_37,37.197,126.204
10980,2021_05_01 11_15_37,37.197,126.204
11040,2021_05_01 11_16_37,37.197,126.204
11100,2021_05_01 11_17_37,37.12,126.12
11160,2021_05_01 11_18_37,37.197,126.204
11220,2021_05_01 11_19_37,37.197,126.204
11280,2021_05_01 11_20_37,37.12,126.12
11340,2021_05_01 11_21_37,37.197,126.204
11460,2021_05_01 11_25_06,37.197,126.204
11520,2021_05_01 11_26_06,37.197,126.204
11580,2021_05_01 11_27_35,37.004,126.04
11640,2021_05_01 11_28_35,37.164,126.147
11700,2021_05_01 11_29_35,37.164,126.147
11760,2021_05_01 11_30_35,37.12,126.12
11820,2021_05_01 11_31_35,37.164,126.147
11880,2021_05_01 11_33_33,37.164,126.147
11940,2021_05_01 11_34_33,37.164,126.147
12000,2021_05_01 11_35_33,37.164,126.147
12060,2021_05_01 11_37_02,37.164,126.147
12120,2021_05_01 11_38_31,37.164,126.147
12180,2021_05_01 11_39_31,37.164,126.147
12240,2021_05_01 11_41_00,37.164,126.147
12300,2021_05_01 11_42_00,37.12,126.12
12360,2021_05_01 11_43_00,37.12,126.12
12420,2021_05_01 11_44_00,37.12,126.12
12480,2021_05_01 11_45_00,37.12,126.12
12540,2021_05_01 11_46_00,37.12,126.12
12600,2021_05_01 11_47_00,37.12,126.12
12660,2021_05_01 11_48_00,37.12,126.12
12720,2021_05_01 11_49_00,37.004,126.04
12780,2021_05_01 11_50_00,37.12,126.12
12840,2021_05_01 11_51_58,37.12,126.12
12960,2021_05_01 11_53_58,37.12,126.12
13020,2021_05_01 11_54_58,37.12,126.12
13080,2021_05_01 11_55_58,37.004,126.04
13140,2021_05_01 11_56_58,37.12,126.12
13200,2021_05_01 11_57_58,37.12,126.12
13260,2021_05_01 11_58_58,37.12,126.12
13320,2021_05_01 11_59_58,37.12,126.12
13380,2021_05_01 12_00_58,37.12,126.12
13440,2021_05_01 12_01_58,37.12,126.12
13500,2021_05_01 12_02_58,37.12,126.12
13560,2021_05_01 12_03_58,37.12,126.12
13620,2021_05_01 12_04_58,37.12,126.12
13680,2021_05_01 12_05_58,37.12,126.12
13740,2021_05_01 12_07_27,36.5942,125.59648
13800,2021_05_01 12_08_56,36.5942,125.59648
13860,2021_05_01 12_09_56,37.12,126.12
13920,2021_05_01 12_10_56,37.12,126.12
13980,2021_05_01 12_11_56,37.004,126.04
14040,2021_05_01 12_13_25,37.12,126.12
14100,2021_05_01 12_14_25,37.12,126.12
