,departure,arrival,voyage_time,trip_type
0,2021_5_1 10_02_10,2021_5_2 01_05_54,8751.062222222223,return
1,2021_5_7 10_52_31,2021_5_8 01_43_41,8774.852777777778,going
2,2021_5_8 08_39_59,2021_5_9 01_42_59,8729.05,return
3,2021_5_12 11_17_00,2021_5_13 02_20_26,8727.057222222222,going
4,2021_5_13 09_53_30,2021_5_14 00_59_35,8751.101388888888,return
5,2021_5_14 10_48_00,2021_5_15 01_30_15,8750.704166666666,going
6,2021_5_15 08_41_16,2021_5_16 02_52_42,8778.190555555555,return
7,2021_5_17 11_42_49,2021_5_18 02_47_45,8751.082222222221,going
8,2021_5_18 09_51_34,2021_5_19 03_18_31,8753.449166666667,return
9,2021_5_19 03_18_59,2021_5_20 01_57_28,8782.64138888889,going
10,2021_5_20 10_05_29,2021_5_21 01_09_34,8727.068055555555,return
11,2021_5_21 10_33_16,2021_5_22 01_37_28,8751.07,going
12,2021_5_22 09_19_15,2021_5_23 01_16_57,8751.961666666666,return
13,2021_5_24 11_04_33,2021_5_25 01_55_41,8726.852222222222,going
14,2021_5_25 09_53_42,2021_5_26 01_17_56,8751.403888888888,return
15,2021_5_26 10_24_28,2021_5_27 05_29_53,8755.090277777777,going
16,2021_5_27 12_51_18,2021_5_28 03_09_31,8774.30361111111,return
17,2021_5_28 11_54_41,2021_5_29 02_56_58,8727.038055555555,going
18,2021_5_29 02_56_58,2021_5_30 00_47_36,8757.843888888889,return
